"","DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5","YEAR","MONTH","MDAY","WDAY","YDAY","TOTAL_YDAY","severity"
"415",2017-01-03,06:46:00,"BROOKLYN","11229",40.616045,-73.9448294,"(40.616045, -73.9448294)","NOSTRAND AVENUE","KINGS HIGHWAY",NA,0,1,0,1,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,3591307,"SPORT UTILITY / STATION WAGON",NA,NA,NA,NA,2017,1,3,3,3,365,"Fatal"
"416",2017-01-01,17:52:00,NA,NA,NA,NA,NA,"BOSTON ROAD",NA,NA,0,1,0,1,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,3590316,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",NA,NA,NA,2017,1,1,1,1,365,"Fatal"
"417",2017-01-01,02:15:00,"QUEENS","11434",40.66675,-73.779945,"(40.66675, -73.779945)","SOUTH CONDUIT AVENUE","ROCKAWAY BOULEVARD",NA,0,1,0,1,0,0,0,0,"Unsafe Speed",NA,NA,NA,NA,3590027,"TAXI",NA,NA,NA,NA,2017,1,1,1,1,365,"Fatal"
"418",2017-01-01,03:17:00,"BROOKLYN","11204",NA,NA,NA,"AVENUE P","WEST 2 STREET",NA,2,1,0,0,0,0,2,1,"Failure to Yield Right-of-Way","Unsafe Speed","Unspecified","Unspecified","Unspecified",3590036,"PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",2017,1,1,1,1,365,"Fatal"
"419",2017-01-01,05:08:00,"BROOKLYN","11208",NA,NA,NA,"CONDUIT BOULEVARD","PINE STREET",NA,2,1,0,1,0,0,2,0,"Unsafe Speed",NA,NA,NA,NA,3590038,"PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",NA,NA,2017,1,1,1,1,365,"Fatal"
"420",2016-12-28,19:13:00,"BROOKLYN","11207",40.65114,-73.89,"(40.65114, -73.89)","LOUISIANA AVENUE","FLATLANDS AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,3588549,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",NA,NA,NA,2016,12,28,4,363,366,"Fatal"
"421",2016-12-28,20:13:00,NA,NA,40.7154325,-73.7291727,"(40.7154325, -73.7291727)",NA,NA,NA,3,1,0,1,0,0,3,0,"Unspecified",NA,NA,NA,NA,3588534,NA,NA,NA,NA,NA,2016,12,28,4,363,366,"Fatal"
"422",2016-12-27,11:32:00,"BRONX","10457",40.84893,-73.890465,"(40.84893, -73.890465)","EAST 180 STREET","HUGHES AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,3587620,"PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",NA,NA,2016,12,27,3,362,366,"Fatal"
"423",2016-12-27,21:05:00,NA,NA,NA,NA,NA,"MAIN STREET",NA,NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,3587851,"SPORT UTILITY / STATION WAGON",NA,NA,NA,NA,2016,12,27,3,362,366,"Fatal"
"424",2016-12-27,05:41:00,NA,NA,40.8446076,-73.9034715,"(40.8446076, -73.9034715)",NA,NA,NA,5,3,0,0,0,0,5,3,"Driver Inattention/Distraction","Unspecified","Unspecified","Unspecified",NA,3588439,"PICK-UP TRUCK","PASSENGER VEHICLE",NA,NA,NA,2016,12,27,3,362,366,"Fatal"
"425",2016-12-19,12:30:00,"QUEENS","11106",NA,NA,NA,NA,NA,"35-32     21 STREET",0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,3583299,"PASSENGER VEHICLE","PASSENGER VEHICLE",NA,NA,NA,2016,12,19,2,354,366,"Fatal"
"426",2016-12-19,22:21:00,"BROOKLYN","11229",40.602688,-73.933556,"(40.602688, -73.933556)","AVENUE U","BURNETT STREET",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,3583026,NA,NA,NA,NA,NA,2016,12,19,2,354,366,"Fatal"
"427",2016-12-19,04:03:00,"BROOKLYN","11207",40.677658,-73.89837,"(40.677658, -73.89837)","JAMAICA AVENUE","SHEFFIELD AVENUE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,3582811,"PASSENGER VEHICLE",NA,NA,NA,NA,2016,12,19,2,354,366,"Fatal"
"428",2016-12-16,20:41:00,"BRONX","10473",40.8213,-73.88033,"(40.8213, -73.88033)","STORY AVENUE","COLGATE AVENUE",NA,0,1,0,1,0,0,0,0,"Drugs (Illegal)",NA,NA,NA,NA,3580092,"PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",NA,2016,12,16,6,351,366,"Fatal"
"429",2016-12-15,01:54:00,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,3580224,"TAXI","PASSENGER VEHICLE",NA,NA,NA,2016,12,15,5,350,366,"Fatal"
"430",2016-12-15,06:48:00,"MANHATTAN","10019",40.7699819,-73.994646,"(40.7699819, -73.994646)","WEST 55 STREET","12 AVENUE",NA,0,1,0,0,0,1,0,0,"Failure to Yield Right-of-Way","Passing or Lane Usage Improper",NA,NA,NA,3580453,"BICYCLE",NA,NA,NA,NA,2016,12,15,5,350,366,"Fatal"
"431",2016-12-13,16:50:00,NA,NA,40.7283926,-73.8330138,"(40.7283926, -73.8330138)",NA,NA,NA,0,1,0,1,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,3579106,"SPORT UTILITY / STATION WAGON",NA,NA,NA,NA,2016,12,13,3,348,366,"Fatal"
"432",2016-12-13,23:41:00,NA,NA,NA,NA,NA,"60 STREET",NA,NA,0,1,0,1,0,0,0,0,"Unspecified","Unspecified",NA,NA,NA,3579244,"TAXI","TAXI","TAXI",NA,NA,2016,12,13,3,348,366,"Fatal"
